SerialNo,Sex,Age,StateOfOrigin,TotalScore,Dept
1044,2,17,1,222,11
1045,2,16,2,222,11
1046,2,18,11,221,11
1047,1,20,7,221,5
1048,1,17,37,220,11
1049,1,18,30,220,11
1050,1,17,14,219,11
1051,2,19,28,219,11
1052,1,25,31,218,11
1053,2,17,5,218,11
1054,1,24,29,218,14
1055,2,21,10,217,11
1056,2,22,32,216,11
1057,1,17,27,214,11
1058,1,23,37,213,11
1059,1,17,31,212,11
1060,2,17,6,210,23
1061,1,23,25,210,11
1062,1,22,8,210,11
1063,1,22,15,208,11
1064,2,21,2,207,14
1065,1,15,9,206,11
1066,1,18,23,206,11
1067,1,19,8,204,11
1068,1,23,20,203,11
1069,2,16,13,202,11
1070,1,26,15,202,11
1071,1,18,23,201,11
1072,1,22,26,201,11
1073,1,24,18,200,11
1074,1,27,19,198,11
1075,1,28,34,198,11
1076,1,20,26,198,11
1077,2,19,34,198,11
1078,1,16,21,198,11
1079,2,19,5,197,11
1080,1,17,18,196,11
1081,1,24,36,192,11
1082,1,21,9,192,11
1083,1,22,20,190,11
1084,1,25,25,190,11
1085,1,24,19,184,11
1086,1,22,27,284,21
1087,2,18,14,273,21
1088,2,18,7,268,21
1089,2,18,4,260,21
1090,1,20,1,259,21
1091,2,17,28,258,21
1092,2,19,7,258,21
1093,1,18,14,258,21
1094,2,19,12,258,21
1095,1,24,11,257,21
1096,2,18,22,257,21
1097,1,21,37,254,21
1098,1,31,14,254,21
1099,2,18,14,253,21
1100,1,18,16,253,21
1101,2,17,22,252,21
1102,2,19,7,252,21
1103,1,17,30,252,21
1104,1,18,9,251,21
1105,2,18,27,250,21
1106,2,17,4,250,21
1107,1,20,10,249,21
1108,1,20,8,247,21
1109,2,20,10,247,21
1110,1,18,22,246,21
1111,2,25,25,246,21
1112,2,19,16,246,21
1113,2,21,12,246,21
1114,2,21,22,245,21
1115,2,17,31,245,21
1116,1,19,11,244,21
1117,1,21,14,244,21
1118,2,26,4,244,21
1119,1,19,16,243,21
1120,1,16,22,242,21
1121,2,18,16,242,21
1122,1,19,13,242,21
1123,2,15,23,242,21
1124,1,23,7,241,21
1125,2,18,13,241,21
1126,2,20,4,241,21
1127,1,18,37,241,21
1128,1,27,13,241,21
1129,1,22,10,241,21
1130,1,19,27,240,21
1131,2,16,12,240,21
1132,2,16,4,240,21
1133,2,21,27,239,21
1134,1,20,1,239,21
1135,2,24,19,238,21
1136,2,18,18,238,21
1137,1,16,29,238,21
1138,1,26,14,238,21
1139,2,17,29,237,21
1140,2,18,18,237,21
1141,1,21,11,235,21
1142,2,19,10,235,21
1143,1,26,22,235,21
1144,2,20,26,234,21
1145,1,17,7,234,21
1146,1,19,37,234,21
1147,2,22,15,234,21
1148,1,21,7,234,21
1149,1,24,16,233,21
1150,2,19,23,232,21
1151,2,16,20,231,21
1152,1,21,13,229,21
1153,1,15,18,229,21
1154,1,17,15,228,21
1155,1,24,25,228,21
1156,2,18,25,227,21
1157,1,21,2,227,21
1158,1,18,6,227,21
1159,1,18,37,226,21
1160,1,17,9,226,5
1161,1,26,2,225,21
1162,1,19,37,224,21
1163,2,45,3,224,21
1164,2,22,11,221,21
1165,1,23,31,220,21
1166,2,24,23,220,21
1167,1,20,5,219,21
1168,1,23,31,218,21
1169,2,16,32,218,21
1170,1,18,25,217,21
1171,1,19,5,217,21
1172,1,18,24,217,21
1173,1,23,6,216,21
1174,2,18,23,216,21
1175,1,18,34,215,21
1176,2,18,36,214,21
1177,1,24,26,214,21
1178,2,28,20,213,21
1179,1,22,9,211,21
1180,1,22,34,208,21
1181,2,25,3,250,22
1182,2,17,37,243,22
1183,2,26,4,237,22
1184,2,16,14,235,22
1185,1,25,28,234,22
1186,1,18,16,234,22
1187,1,26,14,233,22
1188,2,19,1,232,22
1189,1,39,28,231,22
1190,1,18,22,231,22
1191,2,21,14,230,23
1192,1,22,4,228,22
1193,2,30,4,227,22
1194,1,23,22,227,22
1195,1,18,27,226,22
1196,2,20,1,226,22
1197,1,18,18,225,22
1198,1,18,1,224,22
1199,2,20,22,224,22
1200,2,22,10,224,22
1201,2,23,24,224,22
1202,1,19,27,222,22
1203,1,17,10,222,22
1204,1,22,11,220,22
1205,2,23,16,220,22
1206,1,24,16,220,22
1207,1,22,4,220,22
1208,1,24,1,220,22
1209,2,21,7,218,22
1210,2,22,23,218,22
1211,1,24,22,217,22
1212,2,21,1,217,22
1213,2,17,13,217,22
1214,1,21,12,216,22
1215,2,18,13,216,22
1216,2,23,28,214,22
1217,1,20,29,214,22
1218,1,27,14,214,22
1219,1,22,4,213,22
1220,2,20,9,213,22
1221,2,24,1,213,22
1222,1,33,23,213,22
1223,1,25,29,212,22
1224,2,21,22,211,22
1225,1,32,7,211,22
1226,1,21,37,210,22
1227,1,20,3,210,22
1228,1,20,7,210,22
1229,2,25,16,210,22
1230,1,24,9,210,22
1231,1,18,7,209,22
1232,1,22,13,208,7
1233,2,18,12,208,1
1234,2,19,18,207,22
1235,2,22,30,206,22
1236,1,24,37,206,22
1237,2,23,18,206,22
1238,2,23,22,205,22
1239,1,24,37,203,22
1240,1,23,22,203,22
1241,1,18,26,202,22
1242,2,20,11,201,22
1243,2,20,10,200,22
1244,1,19,27,197,7
1245,2,20,18,197,22
1246,2,21,24,196,22
1247,1,18,11,196,22
1248,1,19,26,193,22
1249,1,24,34,192,22
1250,1,19,23,192,22
1251,1,22,9,192,22
1252,2,20,23,192,22
1253,1,26,25,189,22
1254,2,40,15,189,22
1255,1,19,26,187,22
1256,2,18,27,286,23
1257,1,19,27,259,23
1258,1,20,4,255,23
1259,2,19,11,247,23
1260,1,29,7,245,4
1261,2,29,16,243,23
1262,1,23,14,241,23
1263,2,20,4,240,23
1264,2,20,14,239,23
1265,2,20,10,237,4
1266,2,19,13,236,23
1267,1,20,7,236,23
1268,2,21,30,235,23
1269,1,18,22,232,23
1270,2,19,22,232,23
1271,1,23,30,232,23
1272,1,20,9,231,23
1273,1,18,14,231,23
1274,2,23,3,231,23
1275,2,19,4,231,23
1276,2,16,12,230,23
1277,1,18,22,229,23
1278,1,23,7,229,23
1279,2,17,22,229,23
1280,2,21,22,229,7
1281,1,24,16,228,23
1282,2,20,4,228,23
1283,2,18,14,227,23
1284,1,29,7,227,23
1285,1,24,14,227,23
1286,2,18,1,227,23
1287,2,17,37,227,23
1288,2,18,26,226,23
1289,1,20,22,226,23
1290,1,17,20,226,23
1291,2,22,28,226,23
1292,1,22,37,226,23
1293,2,18,2,225,23
1294,2,18,4,225,23
1295,2,18,7,225,23
1296,2,21,13,225,23
1297,1,34,20,224,23
1298,1,28,9,224,23
1299,1,26,1,224,23
1300,1,24,22,224,23
1301,2,18,3,224,23
1302,2,24,18,223,23
1303,1,16,30,223,23
1304,2,22,16,223,23
1305,1,21,11,222,23
1306,1,20,14,222,23
1307,2,18,2,222,23
1308,2,21,23,221,23
1309,2,21,7,221,19
1310,2,16,18,221,23
1311,1,21,29,219,23
1312,1,21,37,219,23
1313,1,21,22,219,23
1314,2,20,34,219,23
1315,2,20,12,219,23
1316,2,18,8,219,23
1317,2,19,28,218,7
1318,1,19,31,217,23
1319,1,22,9,216,23
1320,1,27,31,216,23
1321,1,20,15,216,23
1322,2,25,11,214,23
1323,2,21,19,214,23
1324,1,16,26,213,23
1325,2,17,19,212,23
1326,1,19,27,212,5
1327,1,19,21,210,23
1328,1,19,25,210,23
1329,2,20,23,209,23
1330,2,21,26,209,23
